name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
"Beans, with salt, drained, boiled, cooked, green, snap",100 g,35,0.3g,0,239.00 mg,1.89 g,7.88 g,3.2 g,3.63 g
"Chicken, raw, meat only, dark meat, broilers or fryers",100 g,125,4.3g,80mg,85.00 mg,20.08 g,0.00 g,0.0 g,0.00 g
"Snacks, all flavors, reduced sugar, chewy, granola bar",100 g,412,13g,0,312.00 mg,5.55 g,69.40 g,3.1 g,20.80 g
"Cereals ready-to-eat, QUAKER OAT CINNAMON LIFE, QUAKER",100 g,374,4.1g,0,463.00 mg,9.14 g,79.02 g,6.3 g,25.18 g
"Beans, with salt, boiled, cooked, mature seeds, french",100 g,129,0.8g,0,242.00 mg,7.05 g,24.02 g,9.4 g,0
"Rice and vermicelli mix, unprepared, rice pilaf flavor",100 g,359,1.4g,1mg,1303.00 mg,10.42 g,76.31 g,1.2 g,1.53 g
"Mung beans, stir-fried, cooked, sprouted, mature seeds",100 g,50,0.2g,0,9.00 mg,4.30 g,10.59 g,1.9 g,0
"McDONALD'S, Premium Grilled Chicken Ranch BLT Sandwich",100 g,204,5.4g,38mg,495.00 mg,16.70 g,21.91 g,1.4 g,5.20 g
"Spaghetti, enriched (n x 6.25), dry, protein-fortified",100 g,374,2.2g,0,8.00 mg,21.78 g,65.65 g,2.4 g,0
"Salad dressing, assorted flavors, spray-style dressing",100 g,165,11g,0,1102.00 mg,0.16 g,16.60 g,0.3 g,14.29 g
"USDA Commodity, with broth, meat only, canned, Chicken",100 g,133,4.7g,67mg,256.00 mg,22.41 g,0.23 g,0.0 g,0.03 g
"USDA Commodity, with water, meat only, canned, Chicken",100 g,129,4.6g,67mg,251.00 mg,22.02 g,0.00 g,0.0 g,0.00 g
"Wheat flour, enriched, self-rising, all-purpose, white",100 g,354,1g,0,1193.00 mg,9.89 g,74.22 g,2.7 g,0.22 g
"Fish, drained solids, canned in oil, european, anchovy",100 g,210,9.7g,85mg,3668.00 mg,28.89 g,0.00 g,0.0 g,0.00 g
"Beverages, half the caffeine, regular, instant, coffee",100 g,352,0.5g,0,37.00 mg,14.42 g,73.18 g,0.0 g,0.00 g
"Chicken, roasted, cooked, meat only, cornish game hens",100 g,134,3.9g,106mg,63.00 mg,23.30 g,0.00 g,0.0 g,0.00 g
"Snacks, salt added, white popcorn, oil-popped, popcorn",100 g,500,28g,0,884.00 mg,9.00 g,57.20 g,10.0 g,0
"Amaranth leaves, without salt, drained, boiled, cooked",100 g,21,0.2g,0,21.00 mg,2.11 g,4.11 g,0,0
"Corn, unprepared, kernels on cob, frozen, white, sweet",100 g,98,0.8g,0,5.00 mg,3.28 g,23.50 g,2.8 g,0
"Rice, cooked, unenriched, parboiled, long-grain, white",100 g,123,0.4g,0,2.00 mg,2.91 g,26.05 g,0.9 g,0.11 g
"Jellies, any flavors, no sugar (with sodium saccharin)",100 g,121,0g,0,3.00 mg,0.55 g,29.60 g,2.2 g,3.39 g
"Beans, with salt, boiled, cooked, mature seeds, yellow",100 g,144,1.1g,0,241.00 mg,9.16 g,25.28 g,10.4 g,0.34 g
"CAMPBELL'S Low Sodium Soups, Chicken with Noodles Soup",100 g,52,1.5g,10mg,46.00 mg,3.93 g,5.57 g,0.7 g,1.31 g
"Yogurt, 11 grams protein per 8 ounce, low fat, vanilla",100 g,85,1.3g,5mg,66.00 mg,4.93 g,13.80 g,0.0 g,13.80 g
"Yogurt, 13 grams protein per 8 ounce, skim milk, plain",100 g,56,0.2g,2mg,77.00 mg,5.73 g,7.68 g,0.0 g,7.68 g
"Yogurt, 8 grams protein per 8 ounce, whole milk, plain",100 g,61,3.3g,13mg,46.00 mg,3.47 g,4.66 g,0.0 g,4.66 g
"PREGO Pasta, ready-to-serve, Traditional Italian Sauce",100 g,54,1.2g,0,369.00 mg,1.54 g,10.00 g,2.3 g,7.69 g
"Alcoholic beverage, Muller Thurgau, white, table, wine",100 g,76,0g,0,0,0.07 g,3.48 g,0,0
"Alcoholic beverage, Gewurztraminer, white, table, wine",100 g,81,0g,0,0,0.07 g,2.60 g,0,0
"MORNINGSTAR FARMS Breakfast Pattie, unprepared, frozen",100 g,195,8.3g,0,690.00 mg,23.70 g,12.60 g,7.6 g,2.20 g
"Egg, glucose reduced, stabilized, flakes, dried, white",100 g,351,0g,0,1156.00 mg,76.92 g,4.17 g,0.0 g,0.00 g
"Egg, glucose reduced, stabilized, powder, dried, white",100 g,376,0g,0,1238.00 mg,82.40 g,4.47 g,0.0 g,0.00 g
"Pumpkin flowers, without salt, drained, boiled, cooked",100 g,15,0.1g,0,6.00 mg,1.09 g,3.30 g,0.9 g,2.40 g
"Chicken, roasted, cooked, skin (drumsticks and thighs)",100 g,462,44g,132mg,85.00 mg,16.57 g,0.00 g,0.0 g,0.00 g
"Chicken, braised, cooked, skin (drumsticks and thighs)",100 g,443,43g,130mg,75.00 mg,14.61 g,0.00 g,0.0 g,0.00 g
"Cake, prepared from recipe without frosting, chocolate",100 g,371,15g,58mg,315.00 mg,5.30 g,53.40 g,1.6 g,0
"Pork, raw, heart, variety meats and by-products, fresh",100 g,118,4.4g,131mg,56.00 mg,17.27 g,1.33 g,0.0 g,0.00 g
"Pie, no-bake type, prepared from mix, chocolate mousse",100 g,260,15g,35mg,460.00 mg,3.50 g,29.60 g,0,0
"Infant formula, powder, soy, store brand, PBM PRODUCTS",100 g,508,27g,0,151.00 mg,13.60 g,52.20 g,0.0 g,52.20 g
"Candies, STARBURST Sour Fruit Chews, MARS SNACKFOOD US",100 g,400,7.8g,0,89.00 mg,0.39 g,79.73 g,0.0 g,56.10 g
"Beef, cooked, intermuscular fat, imported, New Zealand",100 g,560,57g,87mg,25.00 mg,7.90 g,3.39 g,0.0 g,0.00 g
"KEEBLER, Original Chocolate Chip Cookies, CHIPS DELUXE",100 g,517,28g,9mg,350.00 mg,5.50 g,62.70 g,2.9 g,30.10 g
"Cereals ready-to-eat, DORA THE EXPLORER, GENERAL MILLS",100 g,366,5.7g,0,564.00 mg,5.60 g,82.80 g,10.2 g,21.20 g
"Soybeans, without salt, drained, boiled, cooked, green",100 g,141,6.4g,0,14.00 mg,12.35 g,11.05 g,4.2 g,0
"CAMPBELL'S CHUNKY, HEALTHY REQUEST Chicken Noodle Soup",100 g,41,1g,8mg,161.00 mg,2.97 g,5.88 g,0.8 g,1.12 g
"Peaches, uncooked, sulfured, dehydrated (low-moisture)",100 g,325,1g,0,10.00 mg,4.89 g,83.18 g,0,0
"Peas, solids and liquids, no salt added, canned, green",100 g,53,0.3g,0,9.00 mg,3.19 g,9.75 g,3.3 g,3.20 g
"CAMPBELL'S Red and White, condensed, French Onion Soup",100 g,36,1.2g,4mg,516.00 mg,1.59 g,4.76 g,0.8 g,3.17 g
"Seaweed, rehydrated, Canadian Cultivated EMI-TSUNOMATA",100 g,31,0.2g,0,526.00 mg,1.86 g,5.62 g,4.5 g,0
"Babyfood, strained, sweet potatoes and chicken, dinner",100 g,74,2.2g,11mg,22.00 mg,2.51 g,11.04 g,1.3 g,2.65 g
"Beverages, powder, breakfast type, orange-flavor drink",100 g,386,0g,0,17.00 mg,0.00 g,98.94 g,0.4 g,92.31 g
"Beverages, frozen concentrate, fruit punch juice drink",100 g,175,0.7g,0,10.00 mg,0.30 g,43.10 g,0.2 g,0
"KEEBLER, Fudge Mint, Grasshopper Cookies, FUDGE SHOPPE",100 g,499,24g,1mg,266.00 mg,4.00 g,68.30 g,2.4 g,39.70 g
"Potatoes, with salt, flesh, cooked in skin, microwaved",100 g,100,0.1g,0,243.00 mg,2.10 g,23.28 g,1.6 g,0
"TACO BELL, cheese and lettuce, Original Taco with beef",100 g,229,13g,28mg,397.00 mg,8.86 g,19.85 g,3.9 g,0.90 g
"Carrots, without salt, drained, boiled, cooked, frozen",100 g,37,0.7g,0,59.00 mg,0.58 g,7.73 g,3.3 g,4.08 g
"Lamb, cooked, Intermuscular fat, imported, New Zealand",100 g,596,62g,82mg,52.00 mg,8.53 g,0.00 g,0.0 g,0.00 g
"Cereals ready-to-eat, Whole Grain TOTAL, GENERAL MILLS",100 g,320,2.1g,0,470.00 mg,8.40 g,74.70 g,9.1 g,16.40 g
"LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",100 g,263,10g,23mg,432.00 mg,12.63 g,30.10 g,1.3 g,3.66 g
"Turkey, roasted, cooked, meat and skin, fryer-roasters",100 g,172,5.7g,105mg,66.00 mg,28.26 g,0.00 g,0.0 g,0.00 g
"Turnips, without salt, drained, boiled, cooked, frozen",100 g,23,0.2g,0,36.00 mg,1.53 g,4.35 g,2.0 g,2.35 g
"Seeds, partially defatted (glandless), cottonseed meal",100 g,367,4.8g,0,37.00 mg,49.10 g,38.43 g,0,0
"Yellow rice with seasoning, unprepared, dry packet mix",100 g,343,1.8g,0,1316.00 mg,7.02 g,74.68 g,1.8 g,1.75 g
"Margarine, with salt, tub, composite, 80% fat, regular",100 g,713,80g,0,657.00 mg,0.22 g,0.75 g,0.0 g,0.00 g
"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",100 g,283,12g,24mg,693.00 mg,11.52 g,31.89 g,2.4 g,3.91 g
"Turkey, roasted, meat only, from whole bird, drumstick",100 g,139,2.1g,80mg,99.00 mg,30.13 g,0.00 g,0.0 g,0.00 g
"Wocas, yellow pond lily (Klamath), Oregon, dried seeds",100 g,361,1.1g,0,25.00 mg,7.90 g,80.02 g,19.2 g,0.43 g
"Mayonnaise, cholesterol-free, reduced-calorie or diet",100 g,333,33g,0,733.00 mg,0.90 g,6.70 g,0.0 g,4.20 g
"Chicken, fried, cooked, meat only, broilers or fryers",100 g,219,9.1g,94mg,91.00 mg,30.57 g,1.69 g,0.1 g,0.00 g
"Fish, cooked (not previously frozen), Alaska, pollock",100 g,80,0.3g,74mg,0,19.42 g,0.00 g,0,0
"Veal, raw, separable lean only, shank (fore and hind)",100 g,108,2.8g,75mg,85.00 mg,19.28 g,0.00 g,0,0
"Chayote, without salt, drained, boiled, cooked, fruit",100 g,24,0.5g,0,1.00 mg,0.62 g,5.09 g,2.8 g,1.89 g
"Apples, uncooked, sulfured, dehydrated (low moisture)",100 g,346,0.6g,0,124.00 mg,1.32 g,93.53 g,12.4 g,81.13 g
"Cherries, drained, heavy syrup, pitted, canned, sweet",100 g,83,0.2g,0,3.00 mg,0.73 g,21.07 g,2.3 g,16.18 g
"Soup, single brand, condensed, canned, vegetable beef",100 g,53,0.8g,5mg,555.00 mg,3.80 g,7.70 g,0,0
"Plums, solids and liquids, juice pack, purple, canned",100 g,58,0g,0,1.00 mg,0.51 g,15.15 g,0.9 g,14.22 g
"Plums, solids and liquids, water pack, purple, canned",100 g,41,0g,0,1.00 mg,0.39 g,11.03 g,0.9 g,10.10 g
"Restaurant, arepa (unleavened cornmeal bread), Latino",100 g,219,5.4g,5mg,270.00 mg,5.48 g,37.14 g,2.6 g,0.87 g
"Restaurant, pupusas del cerdo (pupusas, pork), Latino",100 g,232,10g,29mg,426.00 mg,11.51 g,23.02 g,2.6 g,1.45 g
"Beverages, contains caffeine, pepper-type, carbonated",100 g,41,0.1g,0,10.00 mg,0.00 g,10.40 g,0.0 g,0
"Alcoholic beverage, prepared-from-recipe, pina colada",100 g,174,1.9g,0,6.00 mg,0.42 g,22.66 g,0.3 g,22.33 g
"Walrus, meat and subcutaneous fat raw (Alaska Native)",100 g,282,24g,0,0,16.30 g,0.00 g,0,0
"Beans, with salt, boiled, cooked, mature seeds, black",100 g,132,0.5g,0,237.00 mg,8.86 g,23.71 g,8.7 g,0.32 g
"Soup, ready to serve, less/reduced sodium, beef broth",100 g,6,0.1g,0,225.00 mg,1.14 g,0.20 g,0.0 g,0.20 g
"Grapefruit, California and Arizona, pink and red, raw",100 g,37,0.1g,0,1.00 mg,0.50 g,9.69 g,0,0
"Bread, toasted (includes sourdough), french or vienna",100 g,319,2.1g,0,720.00 mg,13.00 g,61.93 g,3.1 g,3.59 g
"Soup, prepared with equal volume milk, canned, cheese",100 g,92,5.8g,19mg,406.00 mg,3.77 g,6.47 g,0.4 g,0
"Babyfood, strained, vanilla, custard pudding, dessert",100 g,85,2g,8mg,0.00 mg,1.60 g,16.00 g,0.0 g,11.50 g
"Corn, regular pack, vacuum pack, canned, white, sweet",100 g,79,0.5g,0,272.00 mg,2.41 g,19.44 g,2.0 g,0
"Corn, regular pack, cream style, canned, white, sweet",100 g,74,0.4g,0,261.00 mg,1.74 g,18.62 g,1.2 g,6.09 g
"Fish, dry heat, cooked, Atlantic and Pacific, halibut",100 g,111,1.6g,60mg,82.00 mg,22.54 g,0.00 g,0.0 g,0.00 g
"Turkey, raw, from turkey frames, mechanically deboned",100 g,201,16g,95mg,48.00 mg,13.29 g,0.00 g,0.0 g,0
"Pork, raw, tail, variety meats and by-products, fresh",100 g,378,34g,97mg,63.00 mg,17.75 g,0.00 g,0.0 g,0
"Beans, with salt, boiled, cooked, mature seeds, white",100 g,139,0.4g,0,242.00 mg,9.73 g,25.09 g,6.3 g,0.34 g
"Peaches, without added sugar, stewed, sulfured, dried",100 g,77,0.3g,0,2.00 mg,1.16 g,19.69 g,2.7 g,16.99 g
"Cereals ready-to-eat, Honey Nut SCOOTERS, MALT-O-MEAL",100 g,387,4.5g,0,695.00 mg,8.59 g,79.62 g,6.3 g,29.97 g
"APPLEBEE'S, from kid's menu, Macaroni & Cheese, KRAFT",100 g,143,4.3g,7mg,288.00 mg,5.01 g,21.08 g,1.3 g,3.70 g
"McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",100 g,90,1.1g,5mg,38.00 mg,2.47 g,17.67 g,0.9 g,11.90 g
"Fast foods, with corn flour coating (corndog), hotdog",100 g,263,11g,45mg,556.00 mg,9.60 g,31.88 g,0,0
"Beverages, unsweetened, ready-to-drink, Coconut water",100 g,18,0g,0,26.00 mg,0.22 g,4.24 g,0.0 g,3.92 g
"Chicken, wing meat and skin, BBQ, rotisserie, broiler",100 g,257,18g,129mg,579.00 mg,23.42 g,0.60 g,0.0 g,0.60 g
"Cereals ready-to-eat, FROSTED CHEERIOS, GENERAL MILLS",100 g,376,4.7g,0,553.00 mg,9.00 g,79.80 g,7.5 g,32.00 g
"Pork, roasted, separable lean only, whole, ham, cured",100 g,157,5.5g,55mg,1327.00 mg,25.05 g,0.00 g,0.0 g,0.00 g
"Nuts, without salt added, dry roasted, macadamia nuts",100 g,718,76g,0,4.00 mg,7.79 g,13.38 g,8.0 g,4.14 g
"Frozen novelties, prepackaged, sundae, ice cream type",100 g,185,6g,13mg,95.00 mg,4.30 g,29.40 g,0.3 g,20.74 g
CAMPBELL'S Homestyle Light Italian-Style Wedding Soup,100 g,33,0.6g,4mg,322.00 mg,2.45 g,4.49 g,0.4 g,0.82 g
"PILLSBURY, refrigerated dough, Chocolate Chip Cookies",100 g,450,21g,6mg,326.00 mg,3.82 g,60.75 g,1.7 g,37.67 g
"Nuts, without salt added, dry roasted, pistachio nuts",100 g,572,46g,0,6.00 mg,21.05 g,28.28 g,10.3 g,7.74 g
"NABISCO, Cookie Crumb Topping, NABISCO OREO CRUNCHIES",100 g,476,22g,0,528.00 mg,4.78 g,70.23 g,3.2 g,36.00 g
"McDONALD'S, NEWMAN'S OWN Low Fat Balsamic Vinaigrette",100 g,86,5.9g,0,1562.00 mg,0.19 g,24.65 g,0.4 g,6.74 g
"Ground turkey, pan-broiled crumbles, 7% fat, 93% lean",100 g,213,12g,104mg,90.00 mg,27.10 g,0.00 g,0.0 g,0.00 g
"Ice creams, All Natural Light French Vanilla, BREYERS",100 g,173,5.6g,53mg,73.00 mg,4.82 g,26.03 g,0.2 g,21.11 g
"Flan, prepared with 2% milk, dry mix, caramel custard",100 g,103,1.7g,7mg,113.00 mg,2.99 g,18.82 g,0.0 g,0
"Cereals ready-to-eat, KASHI 7 Whole Grain Honey Puffs",100 g,349,1.8g,0,8.00 mg,10.00 g,79.00 g,6.0 g,21.80 g
"Margarine, without salt, stick, composite, 80% fat, regular",100 g,717,81g,0,2.00 mg,0.16 g,0.70 g,0.0 g,0.00 g
"Chicken, stewed, cooked, meat only, leg, broilers or fryers",100 g,185,8.1g,89mg,78.00 mg,26.26 g,0.00 g,0.0 g,0.00 g
"Nuts, shredded, sweetened, dried (desiccated), coconut meat",100 g,501,35g,0,262.00 mg,2.88 g,47.67 g,4.5 g,43.17 g
"CAMPBELL'S Red and White, condensed, Chicken Vegetable Soup",100 g,63,0.8g,4mg,706.00 mg,2.38 g,11.90 g,1.6 g,2.38 g
"Pork, raw, separable lean and fat, boneless, Shoulder breast",100 g,127,3.4g,60mg,54.00 mg,22.54 g,0.00 g,0.0 g,0.00 g
"Turnip greens, without salt, drained, boiled, cooked, frozen",100 g,29,0.4g,0,15.00 mg,3.35 g,4.98 g,3.4 g,0.75 g
"Pork, raw, separable lean only, shank half, leg (ham), fresh",100 g,119,3g,66mg,90.00 mg,21.66 g,0.00 g,0.0 g,0.00 g
"SPAGHETTIOS, SpaghettiOs RavioliOs Beef Ravioli in Meat Sauce",100 g,106,3.2g,8mg,433.00 mg,4.37 g,15.08 g,1.6 g,3.57 g
"USDA Commodity, unheated, cooked as purchased, salmon nuggets",100 g,189,10g,27mg,167.00 mg,11.97 g,11.85 g,0.0 g,0
"Cereals ready-to-eat, Organic FLAX PLUS flakes, NATURE'S PATH",100 g,350,5.5g,0,458.00 mg,11.91 g,75.27 g,16.6 g,12.25 g
"Beef, simmered, cooked, kidneys, variety meats and by-products",100 g,158,4.7g,716mg,94.00 mg,27.27 g,0.00 g,0.0 g,0.00 g
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Multi-grain, KELLOGG",100 g,364,1.3g,0,606.00 mg,7.59 g,86.59 g,9.6 g,20.70 g
"Cereals, dry, fruit and cream variety, Instant Oatmeal, QUAKER",100 g,379,6.4g,0,499.00 mg,8.30 g,75.42 g,6.0 g,31.27 g
"Soup, prepared with equal volume water, canned, mushroom barley",100 g,30,0.9g,0,365.00 mg,0.77 g,4.80 g,0.3 g,0
"Frozen yogurts, sweetened without sugar, nonfat milk, chocolate",100 g,107,0.8g,4mg,81.00 mg,4.40 g,19.70 g,2.0 g,12.61 g
"Cereals, dry, Maple & Brown Sugar Hot Wheat Cereal, MALT-O-MEAL",100 g,368,0.5g,0,5.00 mg,8.82 g,80.52 g,1.8 g,28.00 g
"Wheat flour, enriched, bleached, 13% protein, white (industrial)",100 g,362,1.4g,0,2.00 mg,13.07 g,72.20 g,2.4 g,1.10 g
"Wheat flour, enriched, bleached, 15% protein, white (industrial)",100 g,362,1.4g,0,2.00 mg,15.33 g,69.88 g,2.4 g,0.92 g
"Light Ice Cream, blended with milk chocolate candies, soft serve",100 g,182,6.5g,16mg,54.00 mg,4.02 g,26.82 g,0.2 g,24.37 g
"Chicken, stewed, cooked, meat and skin, wing, broilers or fryers",100 g,249,17g,70mg,67.00 mg,22.78 g,0.00 g,0.0 g,0.00 g
"Pork, unheated, separable lean and fat, center slice, ham, cured",100 g,203,13g,54mg,1386.00 mg,20.17 g,0.05 g,0.0 g,0
"Fast foods, regular patty; with condiments, cheeseburger; double",100 g,282,16g,50mg,617.00 mg,16.24 g,17.97 g,0.9 g,4.16 g
"Fast Food, thin crust, pepperoni topping, 14"" pizza, Pizza Chain",100 g,331,18g,37mg,875.00 mg,14.01 g,29.00 g,2.3 g,3.22 g
"Fast foods, meatball marinara on white bread, submarine sandwich",100 g,219,8.5g,15mg,437.00 mg,9.77 g,26.01 g,2.1 g,4.98 g
"Beef, raw, separable lean only, striploin, imported, New Zealand",100 g,150,7g,54mg,47.00 mg,20.93 g,0.74 g,0.0 g,0.00 g
"Beef, fast roasted, cooked, ribs prepared, imported, New Zealand",100 g,197,9.7g,69mg,58.00 mg,27.23 g,0.09 g,0.0 g,0.00 g
"Beverages, ready-to-drink, nutritional drink, Boost plus, NESTLE",100 g,138,5.4g,4mg,77.00 mg,5.38 g,17.29 g,1.2 g,8.46 g
"Soup, prepared with equal volume water, canned, turkey vegetable",100 g,30,1.3g,1mg,376.00 mg,1.28 g,3.58 g,0.2 g,0
"Snacks, nacho cheese, made with olestra, low fat, tortilla chips",100 g,318,3.5g,2mg,705.00 mg,8.44 g,65.22 g,6.4 g,2.82 g
"Puddings, prepared with 2% milk, instant, dry mix, coconut cream",100 g,107,2.3g,6mg,246.00 mg,2.90 g,19.20 g,0.1 g,0
"Game meat, raw, separable lean only, shoulder clod, chuck, bison",100 g,119,3.2g,64mg,62.00 mg,21.12 g,0.00 g,0.0 g,0.00 g
"Beef, raw, separable lean only, hind shin, imported, New Zealand",100 g,114,3.1g,56mg,63.00 mg,21.46 g,0.00 g,0.0 g,0.00 g
"LITTLE CAESARS 14"" Original Round Pepperoni Pizza, Regular Crust",100 g,273,11g,28mg,518.00 mg,13.59 g,31.01 g,1.7 g,3.76 g
"Veal, grilled, cooked, separable lean only, blade chop, shoulder",100 g,159,5.5g,77mg,113.00 mg,27.33 g,0.00 g,0.0 g,0.00 g
"Cereals ready-to-eat, KELLOGG'S MARSHMALLOW FROOT LOOPS, KELLOGG",100 g,376,2.8g,0,393.00 mg,4.59 g,89.30 g,7.4 g,49.90 g
"Veal, grilled, cooked, boneless, cutlet, cap off, top round, leg",100 g,151,2.6g,72mg,88.00 mg,31.89 g,0.00 g,0.0 g,0.00 g
"Peas, with salt, drained, boiled, cooked, sprouted, mature seeds",100 g,98,0.5g,0,239.00 mg,7.05 g,17.08 g,0,0
"Cookies, special dietary, with creme filling, chocolate sandwich",100 g,461,22g,0,342.00 mg,4.50 g,68.00 g,4.1 g,19.73 g
"Potatoes, with salt, flesh and skin, in skin, cooked, microwaved",100 g,105,0.1g,0,244.00 mg,2.44 g,24.24 g,2.3 g,0
"Cake, home baked style, Panque Casero, BIMBO Bakeries USA, pound",100 g,418,22g,0,357.00 mg,6.62 g,48.94 g,1.0 g,28.77 g
"Veal, raw, separable lean only, bone-in, hind, shank, Australian",100 g,122,4.5g,59mg,98.00 mg,20.37 g,0.00 g,0.0 g,0.00 g
"Soymilk, vitamins A and D, with added calcium, nonfat, chocolate",100 g,44,0g,0,57.00 mg,2.47 g,8.51 g,0.2 g,3.65 g
"DIGIORNO Pizza, baked, frozen, thin crispy crust, cheese topping",100 g,247,9.9g,21mg,506.00 mg,12.96 g,26.47 g,3.0 g,0
"Babyfood, strained, with applesauce and bananas, oatmeal, cereal",100 g,74,0.7g,0,3.00 mg,1.30 g,15.40 g,0.8 g,10.49 g
"Milk, without added vitamin A and vitamin D, evaporated, canned",100 g,135,7.6g,29mg,106.00 mg,6.81 g,10.04 g,0.0 g,10.04 g
"French toast, made with low fat (2%) milk, prepared from recipe",100 g,229,11g,116mg,479.00 mg,7.70 g,25.00 g,0,0
"Cereals ready-to-eat, CHOCO ZUCARITAS, KELLOGG'S FROSTED FLAKES",100 g,387,3.5g,0,515.00 mg,5.10 g,85.10 g,1.4 g,38.10 g
"Salmon, without skin and bones, drained solids, canned, sockeye",100 g,158,5.9g,66mg,386.00 mg,26.33 g,0.00 g,0.0 g,0.00 g
"Broccoli, without salt, drained, boiled, cooked, spears, frozen",100 g,28,0.1g,0,24.00 mg,3.10 g,5.36 g,3.0 g,1.47 g
"Doughnuts, plain (includes unsugared, old-fashioned), cake-type",100 g,434,25g,10mg,477.00 mg,5.31 g,47.06 g,1.7 g,18.15 g
"Chicken, stewed, cooked, meat and skin, leg, broilers or fryers",100 g,220,13g,84mg,73.00 mg,24.17 g,0.00 g,0.0 g,0.00 g
"Seeds, from raw and stone ground kernels, tahini, sesame butter",100 g,570,48g,0,74.00 mg,17.81 g,26.19 g,9.3 g,0
"Bread, made with low fat (2%) milk, prepared from recipe, white",100 g,285,5.7g,3mg,359.00 mg,7.90 g,49.60 g,2.0 g,0
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",100 g,384,5.9g,0,214.00 mg,8.90 g,76.60 g,11.1 g,25.50 g
"Popcorn, made with palm oil, regular (butter) flavor, microwave",100 g,535,30g,0,763.00 mg,8.38 g,57.26 g,10.0 g,0.30 g
"NABISCO, NABISCO SNACKWELL'S Fat Free Devil's Food Cookie Cakes",100 g,305,1.1g,0,174.00 mg,5.00 g,74.25 g,1.6 g,43.38 g
"Cereals ready-to-eat, Blueberry MUFFIN TOPS Cereal, MALT-O-MEAL",100 g,443,11g,0,462.00 mg,4.90 g,79.91 g,4.7 g,35.36 g
"Beans, with salt, drained, boiled, cooked, frozen, yellow, snap",100 g,28,0.2g,0,245.00 mg,1.49 g,6.45 g,3.0 g,1.88 g
"Pizza, cooked, frozen, rising crust, meat and vegetable topping",100 g,271,12g,19mg,640.00 mg,12.63 g,28.78 g,2.3 g,7.26 g
"Cereals, dry, Hearty Honey & Cinnamon, KASHI GO LEAN Hot Cereal",100 g,367,5.3g,0,273.00 mg,18.39 g,68.00 g,12.0 g,17.70 g
"Pork, raw, separable lean and fat, shank half, leg (ham), fresh",100 g,193,12g,67mg,84.00 mg,19.87 g,0.00 g,0.0 g,0.00 g
"Crackers, unsalted tops (includes oyster, soda, soup), saltines",100 g,434,12g,0,766.00 mg,9.20 g,71.50 g,3.0 g,0
"Rice, with salt, unenriched, cooked, regular, long-grain, white",100 g,130,0.3g,0,382.00 mg,2.69 g,28.17 g,0.4 g,0.05 g
"Soybeans, with salt, stir-fried, cooked, sprouted, mature seeds",100 g,125,7.1g,0,250.00 mg,13.10 g,9.40 g,0.8 g,0
"Winged bean, with salt, drained, boiled, cooked, immature seeds",100 g,37,0.7g,0,240.00 mg,5.31 g,3.21 g,0,0
"Soup, prepared with equal volume milk, canned, cream of chicken",100 g,77,4.6g,11mg,362.00 mg,3.01 g,6.04 g,0.1 g,0
"Squash, without salt, boiled, cooked, frozen, butternut, winter",100 g,39,0.1g,0,2.00 mg,1.23 g,10.05 g,0,0
"Beverages, yellow green colored citrus soft drink with caffeine",100 g,49,0g,0,18.00 mg,0.00 g,12.83 g,0.0 g,12.90 g
"Pokeberry shoots, without salt, drained, boiled, cooked, (poke)",100 g,20,0.4g,0,18.00 mg,2.30 g,3.10 g,1.5 g,1.60 g
"Cereals ready-to-eat, CHOCOLATE MARSHMALLOW MATEYS, MALT-O-MEAL",100 g,392,3.7g,0,368.00 mg,3.50 g,88.18 g,2.5 g,55.45 g
"Nuts, without salt added, with peanuts, dry roasted, mixed nuts",100 g,607,54g,0,4.00 mg,19.50 g,22.42 g,6.4 g,5.00 g
"Nuts, without salt added, with peanuts, oil roasted, mixed nuts",100 g,607,54g,0,5.00 mg,20.04 g,21.05 g,7.0 g,4.15 g
"Potatoes, whole milk and margarine added, home-prepared, mashed",100 g,113,4.2g,1mg,333.00 mg,1.96 g,16.94 g,1.5 g,1.41 g
"Sandwich spread, unspecified oils, regular, with chopped pickle",100 g,389,34g,76mg,1000.00 mg,0.90 g,22.40 g,0.4 g,15.18 g
"Soup, prepared with equal volume water, canned, cream of shrimp",100 g,36,2.1g,7mg,391.00 mg,1.11 g,3.27 g,0.1 g,0.24 g
"Soup, prepared with equal volume water, canned, cream of potato",100 g,30,1g,2mg,238.00 mg,0.72 g,4.70 g,0.2 g,0
"Cereals ready-to-eat, PEANUT BUTTER TOAST CRUNCH, GENERAL MILLS",100 g,410,9.8g,0,452.00 mg,8.19 g,76.19 g,5.5 g,27.10 g
"Cereals, reduced sugar, Cinnamon Spice, Instant Oatmeal, QUAKER",100 g,358,6.1g,0,760.00 mg,11.26 g,69.45 g,8.8 g,11.91 g
"Cereals ready-to-eat, original spoon-size, Shredded Wheat, POST",100 g,351,2.1g,0,2.00 mg,11.80 g,81.40 g,12.4 g,0.90 g
